timestamps,packet-counter,lidar-lite-v3,spectrometer-voltage,latitude,longitude,altitude,accerelometer-x,accerelometer-y,accerelometer-z,spectrometer_spectrometer1,spectrometer_spectrometer2,spectrometer_spectrometer3,spectrometer_spectrometer4,spectrometer_spectrometer5,spectrometer_spectrometer6,spectrometer_spectrometer7
1740671967.300007,20252025123456.0,5.0,19.0,9.0,12.0,14.0,9.0,11.0,11.0,6.0,7.0,14.0,5.0,11.0,9.0,17.0
1740671968.301001,20252025123456.0,19.0,15.0,18.0,7.0,2.0,6.0,4.0,8.0,18.0,14.0,11.0,11.0,7.0,16.0,10.0
1740671969.302417,20252025123456.0,19.0,4.0,18.0,8.0,3.0,8.0,3.0,18.0,2.0,10.0,8.0,16.0,14.0,17.0,6.0
1740671970.30342,20252025123456.0,12.0,12.0,2.0,1.0,3.0,2.0,18.0,16.0,19.0,11.0,12.0,5.0,13.0,18.0,17.0
1740671971.304311,20252025123456.0,7.0,15.0,2.0,5.0,6.0,11.0,15.0,9.0,5.0,16.0,10.0,7.0,11.0,11.0,6.0
1740671972.305422,20252025123456.0,18.0,15.0,14.0,9.0,10.0,16.0,8.0,18.0,18.0,16.0,7.0,11.0,11.0,19.0,18.0
1740671973.307115,20252025123456.0,1.0,4.0,8.0,16.0,14.0,2.0,8.0,15.0,6.0,17.0,17.0,5.0,17.0,4.0,19.0
1740671974.308484,20252025123456.0,2.0,4.0,14.0,15.0,18.0,6.0,17.0,19.0,16.0,10.0,16.0,8.0,6.0,16.0,19.0
1740671975.309589,20252025123456.0,7.0,13.0,10.0,6.0,11.0,8.0,2.0,9.0,14.0,9.0,10.0,14.0,6.0,14.0,3.0
1740671976.310995,20252025123456.0,15.0,14.0,12.0,10.0,8.0,3.0,8.0,12.0,10.0,9.0,18.0,7.0,18.0,6.0,6.0
1740671977.312274,20252025123456.0,9.0,14.0,2.0,4.0,6.0,9.0,8.0,7.0,12.0,10.0,7.0,14.0,14.0,18.0,15.0
1740671978.313489,20252025123456.0,14.0,19.0,11.0,5.0,10.0,10.0,7.0,12.0,4.0,10.0,19.0,13.0,5.0,8.0,9.0
1740671979.314835,20252025123456.0,18.0,8.0,13.0,1.0,6.0,18.0,2.0,5.0,14.0,19.0,5.0,8.0,9.0,7.0,19.0
1740671980.316583,20252025123456.0,3.0,18.0,10.0,18.0,10.0,1.0,6.0,17.0,12.0,13.0,14.0,5.0,5.0,9.0,11.0
1740671981.317635,20252025123456.0,10.0,12.0,8.0,13.0,17.0,19.0,6.0,10.0,14.0,7.0,17.0,17.0,16.0,2.0,14.0
1740671982.319116,20252025123456.0,5.0,9.0,11.0,11.0,6.0,2.0,9.0,19.0,2.0,7.0,1.0,12.0,15.0,18.0,14.0
1740671983.321035,20252025123456.0,5.0,16.0,2.0,11.0,3.0,4.0,14.0,1.0,2.0,7.0,2.0,18.0,6.0,13.0,5.0
1740671984.322412,20252025123456.0,4.0,18.0,18.0,12.0,5.0,8.0,13.0,1.0,19.0,1.0,19.0,6.0,15.0,5.0,7.0
1740671985.323621,20252025123456.0,19.0,11.0,19.0,3.0,17.0,17.0,18.0,17.0,6.0,14.0,1.0,13.0,9.0,5.0,6.0
1740671986.325293,20252025123456.0,11.0,17.0,10.0,11.0,4.0,2.0,17.0,9.0,12.0,5.0,9.0,10.0,8.0,13.0,14.0
1740671987.326644,20252025123456.0,11.0,18.0,16.0,9.0,19.0,14.0,13.0,15.0,14.0,1.0,19.0,11.0,3.0,9.0,11.0
1740671988.328605,20252025123456.0,14.0,4.0,4.0,16.0,14.0,8.0,7.0,11.0,3.0,19.0,4.0,12.0,7.0,7.0,17.0
1740671989.330273,20252025123456.0,3.0,6.0,11.0,1.0,5.0,6.0,17.0,9.0,6.0,19.0,19.0,19.0,18.0,8.0,5.0
1740671990.331046,20252025123456.0,7.0,17.0,8.0,13.0,9.0,17.0,5.0,16.0,11.0,1.0,3.0,11.0,6.0,6.0,4.0
1740671991.332515,20252025123456.0,16.0,17.0,18.0,17.0,13.0,19.0,18.0,17.0,18.0,6.0,14.0,10.0,6.0,6.0,1.0
1740671992.334201,20252025123456.0,7.0,14.0,19.0,4.0,17.0,17.0,1.0,18.0,4.0,9.0,2.0,11.0,18.0,12.0,11.0
1740671993.335262,20252025123456.0,5.0,18.0,3.0,4.0,5.0,14.0,18.0,5.0,12.0,1.0,15.0,8.0,12.0,7.0,19.0
1740671994.336773,20252025123456.0,1.0,10.0,10.0,18.0,8.0,5.0,5.0,19.0,7.0,14.0,9.0,7.0,15.0,14.0,17.0
1740671995.338351,20252025123456.0,18.0,2.0,17.0,16.0,4.0,17.0,6.0,13.0,8.0,16.0,14.0,17.0,14.0,2.0,8.0
1740671996.339755,20252025123456.0,18.0,7.0,14.0,15.0,4.0,13.0,18.0,18.0,12.0,13.0,3.0,3.0,16.0,9.0,4.0
